iter	Passed	Remaining
0	31	3073
1	55	2735
2	80	2603
3	104	2502
4	128	2445
5	152	2394
6	177	2354
7	201	2319
8	226	2289
9	250	2256
10	275	2227
11	300	2200
12	324	2170
13	348	2140
14	372	2110
15	395	2078
16	419	2046
17	442	2016
18	466	1987
19	489	1959
20	514	1937
21	540	1917
22	566	1898
23	593	1880
24	620	1861
25	646	1841
26	672	1819
27	698	1797
28	723	1772
29	750	1750
30	773	1721
31	796	1693
32	820	1666
33	844	1640
34	868	1612
35	891	1585
36	914	1557
37	939	1532
38	962	1505
39	986	1479
40	1009	1453
41	1033	1427
42	1057	1401
43	1080	1375
44	1103	1349
45	1128	1324
46	1152	1299
47	1175	1273
48	1200	1249
49	1223	1223
50	1245	1197
51	1269	1171
52	1292	1146
53	1320	1125
54	1344	1099
55	1367	1074
56	1390	1048
57	1413	1023
58	1436	998
59	1459	973
60	1482	948
61	1506	923
62	1529	898
63	1553	873
64	1576	848
65	1601	825
66	1624	800
67	1648	775
68	1671	750
69	1694	726
70	1717	701
71	1741	677
72	1764	652
73	1787	628
74	1811	603
75	1834	579
76	1857	554
77	1880	530
78	1903	506
79	1927	481
80	1950	457
81	1973	433
82	1996	409
83	2020	384
84	2043	360
85	2066	336
86	2089	312
87	2112	288
88	2136	264
89	2159	239
90	2182	215
91	2205	191
92	2228	167
93	2252	143
94	2275	119
95	2298	95
96	2329	72
97	2353	48
98	2376	24
99	2399	0
